"bin","bbl","evictions"
1005781,"1004340015",1
1005782,"1004340016",2
1005783,"1004340017",6
1005785,"1004340020",1
1005791,"1004340029",1
1005792,"1004347504",2
1005793,"1004347501",4
1005795,"1004340035",1
1005798,"1004340038",1
1005807,"1004340049",1
1005810,"1004340053",1
1005814,"1004350001",1
1005815,"1004350004",4
1005816,"1004350005",2
1005821,"1004350010",4
1005823,"1004350012",1
1005825,"1004350014",1
1005828,"1004350019",2
1005831,"1004350023",1
1005832,"1004350024",2
1005834,"1004350027",1
1005836,"1004350029",2
1005837,"1004350030",2
1005839,"1004350032",1
1005841,"1004350034",1
1005842,"1004350035",1
1005843,"1004350036",1
1005845,"1004350039",4
1005846,"1004350040",3
1005848,"1004350043",1
1005849,"1004350045",23
1005853,"1004350053",4
1005855,"1004350055",2
1005859,"1004360002",1
1005868,"1004360014",1
1005869,"1004360016",1
1005871,"1004360018",1
1005872,"1004360019",2
1005873,"1004360020",5
1005874,"1004360022",2
1005876,"1004360024",1
1005880,"1004360028",8
1005885,"1004360040",3
1005886,"1004360041",3
1005887,"1004360042",4
1005888,"1004360044",3
1005890,"1004360050",1
1005892,"1004360057",1
1005897,"1004370007",1
1005900,"1004370010",13
1005909,"1004370021",10
1005910,"1004370023",2
1005913,"1004370028",1
1005915,"1004370034",1
1005916,"1004370036",3
1005923,"1004370043",1
1005925,"1004370045",2
1005926,"1004370046",3
1005927,"1004370047",3
1005931,"1004380004",1
1005936,"1004380013",2
1005944,"1004380027",2
1005945,"1004380028",1
1005946,"1004380029",1
1005947,"1004380030",3
1005950,"1004380038",2
1005951,"1004380039",1
1005952,"1004380040",1
1005953,"1004380041",2
1005955,"1004380043",3
1005956,"1004380044",2
1005957,"1004380045",1
1005958,"1004380046",2
1005959,"1004380047",4
1005960,"1004380048",17
1005963,"1004380051",1
1005964,"1004380052",4
1005966,"1004390002",2
1005970,"1004390006",2
1005971,"1004390007",4
1005977,"1004390030",1
1005980,"1004400006",2
1005981,"1004400007",1
1005985,"1004400014",6
1005986,"1004400018",5
1005988,"1004400021",3
1005989,"1004400024",4
1005992,"1004400028",1
1005997,"1004400035",1
1005998,"1004400036",7
1005999,"1004400038",2
1006000,"1004400040",1
1006004,"1004400050",3
1006006,"1004400052",1
1006011,"1004410003",4
1006016,"1004410018",1
1006017,"1004410019",5
1006020,"1004410031",2
1006021,"1004410032",1
1006022,"1004410035",4
1006068,"1004420007",5
1006069,"1004420011",4
1006074,"1004420017",1
1006076,"1004420019",3
1006077,"1004420020",3
1006084,"1004430020",3
1006086,"1004430023",1
1006095,"1004430035",4
1006100,"1004430041",3
1006108,"1004430054",3
1006109,"1004430055",2
1006115,"1004440008",1
1006119,"1004440014",1
1006120,"1004440016",2
1006121,"1004440018",1
1006122,"1004440019",1
1006126,"1004440024",1
1006127,"1004440029",1
1006128,"1004440030",4
1006129,"1004440031",4
1006130,"1004440032",1
1006131,"1004440033",1
1006132,"1004440034",16
1006133,"1004440038",2
1006168,"1004450009",8
1006171,"1004450018",1
1006173,"1004450025",2
1006174,"1004450028",1
1006175,"1004450029",1
1006176,"1004450030",1
1006177,"1004450031",1
1006182,"1004450036",1
1006184,"1004450038",12
1006190,"1004450049",3
1006203,"1004460006",3
1006205,"1004460008",2
1006207,"1004460011",1
1006209,"1004460025",2
1006210,"1004460026",1
1006212,"1004460028",1
1006215,"1004460033",1
1006216,"1004460034",1
1006217,"1004460035",6
1006221,"1004467502",2
1006223,"1004470003",1
1006235,"1004470019",1
1006236,"1004470020",4
1006239,"1004470023",1
1006242,"1004470026",1
1006250,"1004470043",1
1006257,"1004470051",4
1006258,"1004470053",6
1006267,"1004480010",1
1006268,"1004480011",1
1006269,"1004480012",1
1006272,"1004480015",2
1006276,"1004480019",2
1006277,"1004480020",1
1006278,"1004480021",3
1006279,"1004480022",3
1006280,"1004480024",2
1006283,"1004480027",2
1006286,"1004480030",1
1006289,"1004480033",2
1006291,"1004480036",1
1006292,"1004480037",1
1006293,"1004480038",1
1006296,"1004480041",3
1006307,"1004490001",2
1006310,"1004490004",2
1006312,"1004490006",8
1006324,"1004490018",4
1006327,"1004490021",2
1006332,"1004490027",1
1006335,"1004490032",3
1006336,"1004490033",1
1006340,"1004490037",1
1006353,"1004490051",1
1006354,"1004490052",1
1006356,"1004490054",1
1006360,"1004500001",1
1006367,"1004500014",3
1006369,"1004500016",1
1006370,"1004500018",3
1006371,"1004500020",4
1006372,"1004500021",1
1006378,"1004500027",11
1006384,"1004500036",2
1006390,"1004500042",2
1006400,"1004500052",1
1006406,"1004510015",2
1006410,"1004510019",3
1006415,"1004510025",2
1006417,"1004510032",4
1006420,"1004510043",5
1006421,"1004510044",2
1006423,"1004510047",1
1006427,"1004510052",2
1006428,"1004510054",3
1006431,"1004510057",2
1006433,"1004520001",1
1006434,"1004520002",17
1006435,"1004520006",2
1006439,"1004520015",2
1006440,"1004520017",2
1006441,"1004520019",1
1006443,"1004520022",1
1006444,"1004520023",2
1006449,"1004520030",1
1006457,"1004520040",1
1006459,"1004520043",1
1006460,"1004520044",9
1006461,"1004520046",1
1006462,"1004520047",2
1006465,"1004520050",3
1006466,"1004520051",2
1006469,"1004520054",1
1006470,"1004530002",1
1006474,"1004530006",1
1006476,"1004530008",2
1006479,"1004540004",2
1006481,"1004540022",2
1006482,"1004540023",3
1006483,"1004540024",4
1006484,"1004540027",1
